,APN,Registered Date,Property Type,Property Zip
330,5035016014,2/13/14,Multi-Family,90062.0
331,5035006010,1/29/14,Multi-Family,90062.0
332,2410001070,6/27/14,Single Family,91352.0
333,2176009005,12/16/14,Single Family,91356.0
334,2785013055,6/9/14,Single Family,91324.0
335,2513014042,6/20/14,Single Family,91340.0
336,6050022020,1/3/14,Single Family,90002.0
337,5437022006,12/10/14,Single Family,90039.0
338,5213028014,11/18/14,Single Family,90032.0
339,5029002020,9/30/14,Single Family,90008.0
340,2316011037,10/27/14,Single Family,91605.0
341,2787008011,11/26/14,Single Family,91325.0
342,5032022114,1/22/14,Single Family,90008.0
343,5207012003,4/10/14,Single Family,90031.0
344,6051014026,3/5/14,Single Family,90002.0
345,5090029043,12/2/14,Single Family,90005.0
346,2107022065,5/8/14,Single Family,91306.0
347,2182013005,6/23/14,Single Family,91316.0
348,6054007025,7/15/14,Single Family,90044.0
349,2707010026,8/20/14,Single Family,91311.0
350,4371011022,3/27/14,Single Family,90077.0
351,6015031007,7/21/14,Single Family,90047.0
352,2215015072,12/9/14,Single Family,91405.0
353,2172024038,9/15/14,Single Family,91364.0
354,5118020004,1/2/14,Multi-Family,90011.0
355,2701070039,5/8/14,Single Family,91326.0
356,5579020004,8/25/14,Single Family,90068.0
357,2606016009,1/17/14,Single Family,91344.0
358,4325027005,1/19/14,Single Family,90024.0
359,4249022011,11/7/14,Single Family,90066.0
360,2607015056,11/24/14,Single Family,91344.0
361,2623024023,12/19/14,Single Family,91331.0
362,2103018030,7/15/14,Single Family,91335.0
363,6074017004,10/10/14,Single Family,90061.0
364,2146031147,10/27/14,Single Family,91367.0
365,2424018007,6/9/14,Single Family,91602.0
366,2542009018,4/9/14,Single Family,91040.0
367,2564011021,1/15/14,Single Family,91042.0
368,5064007028,3/27/14,Single Family,90019.0
369,4256023003,5/29/14,Single Family,90064.0
370,5046033045,3/26/14,Single Family,90016.0
371,7559017034,11/11/14,Single Family,90732.0
372,5478024009,3/26/14,Single Family,90042.0
373,5503001029,3/21/14,Single Family,90020.0
374,6003022004,1/3/14,Multi-Family,90044.0
375,2113001001,11/11/14,Single Family,91306.0
376,5464028039,1/31/14,Single Family,90065.0
377,5229025017,3/7/14,Single Family,90063.0
378,5019027006,1/29/14,Multi-Family,90037.0
379,6063022027,11/3/14,Multi-Family,90003.0
380,2263031020,7/9/14,Single Family,91403.0
381,2114008042,5/6/14,Single Family,91306.0
382,5046008013,11/24/14,Single Family,90016.0
